prompt_id,context_bucket,trial_index,spec_k,acceptance_rate,tokens_per_sec,tokens_per_sec_ar,actual_speedup_tps_ratio,theoretical_speedup_factor,system_overhead_ratio
scale-med-02,medium,1,5,1.0,46.757258431114835,59.17993217544912,0.7900863808443523,1.0,0.7900863808443523
scale-med-01,medium,0,7,1.0,44.58076449680707,56.36144654852314,0.7909797783210949,1.0,0.7909797783210949
scale-med-01,medium,0,7,1.0,47.76590399753909,59.67238009845121,0.8004692274504877,1.0,0.8004692274504877
scale-med-01,medium,1,7,1.0,45.185081014750615,56.54048940865194,0.7991632454429427,1.0,0.7991632454429427
scale-med-01,medium,1,7,1.0,47.081476955111015,58.760418292048406,0.8012447549489652,1.0,0.8012447549489652
scale-med-02,medium,0,7,1.0,45.116170649968446,55.494266088775696,0.8129879684829938,1.0,0.8129879684829938
scale-med-02,medium,0,7,1.0,47.0505759094275,58.42247629536261,0.8053505926650053,1.0,0.8053505926650053
scale-med-02,medium,1,7,1.0,44.87806333575893,56.773246076169386,0.7904790801559703,1.0,0.7904790801559703
scale-med-02,medium,1,7,1.0,48.22870317513924,59.17993217544912,0.8149502948424633,1.0,0.8149502948424633
mt-001,short,0,1,1.0,26.21249637251819,58.27822191053867,0.44978201999292783,1.0,0.44978201999292783
mt-001,short,0,1,1.0,26.60096976397625,57.881572677439664,0.459575794738978,1.0,0.459575794738978
mt-001,short,1,1,1.0,25.573408626499116,58.34929487411395,0.4382813653819232,1.0,0.4382813653819232
mt-001,short,1,1,1.0,27.558887735509504,60.32829468306743,0.4568152950500117,1.0,0.4568152950500117
mt-002,short,0,1,1.0,25.54852734108824,58.38106554048173,0.4376166674000282,1.0,0.4376166674000282
mt-002,short,0,1,1.0,26.91640049594742,59.32569079410219,0.4537056397600901,1.0,0.4537056397600901
mt-002,short,1,1,1.0,25.70371116390829,56.59963487009647,0.4541321021399105,1.0,0.4541321021399105
mt-002,short,1,1,1.0,26.5752749714866,59.861828257415645,0.44394359051662396,1.0,0.44394359051662396
mt-003,short,0,1,1.0,25.596361364607787,56.76295656124361,0.4509342521119552,1.0,0.4509342521119552
mt-003,short,0,1,1.0,26.993076405361233,59.15693414017817,0.45629606736208617,1.0,0.45629606736208617
mt-003,short,1,1,1.0,25.813973971460047,57.35497571244089,0.4500738366777955,1.0,0.4500738366777955
mt-003,short,1,1,1.0,27.141630487171117,58.26825675671844,0.46580474512036324,1.0,0.46580474512036324
mt-004,short,0,1,1.0,25.775219986709654,58.27229227254842,0.44232376969409426,1.0,0.44232376969409426
mt-004,short,0,1,1.0,27.062737417627236,55.95359759799796,0.48366393903857846,1.0,0.48366393903857846
mt-004,short,1,1,1.0,26.192658111005017,57.75618971731211,0.45350391428529274,1.0,0.45350391428529274
mt-004,short,1,1,1.0,26.521832981138235,57.28314320235899,0.4629954206152227,1.0,0.4629954206152227
mt-005,short,0,1,1.0,25.968363058153347,58.53578749451926,0.4436322490849684,1.0,0.4436322490849684
mt-005,short,0,1,1.0,27.336366376362385,56.65688799755476,0.48248972618372876,1.0,0.48248972618372876
