prompt_id,context_bucket,trial_index,spec_k,acceptance_rate,tokens_per_sec,tokens_per_sec_ar,actual_speedup_tps_ratio,theoretical_speedup_factor,system_overhead_ratio
mt-003,short,1,1,1.0,77.84488801791558,174.76136458545272,0.4454353409437468,1.0,0.4454353409437468
mt-003,short,2,1,1.0,76.27448254467637,168.89758293888772,0.45160197805953683,1.0,0.45160197805953683
mt-004,short,0,1,1.0,78.23694300724114,171.74210657848658,0.45554898892244955,1.0,0.45554898892244955
mt-004,short,1,1,1.0,76.42719906732805,171.54602531612016,0.44552008084413597,1.0,0.44552008084413597
mt-004,short,2,1,1.0,77.9267574491657,171.80746272131395,0.4535702711329217,1.0,0.4535702711329217
mt-005,short,0,1,1.0,76.47291616083146,168.06562302922217,0.4550181933847045,1.0,0.4550181933847045
mt-005,short,1,1,1.0,75.99040611623751,170.4493959579965,0.4458238510564371,1.0,0.4458238510564371
mt-005,short,2,1,1.0,77.96254725520417,165.69503872652305,0.4705182958669033,1.0,0.4705182958669033
mt-006,short,0,1,1.0,76.44532013407787,172.74322075437752,0.4425373094251553,1.0,0.4425373094251553
mt-006,short,1,1,1.0,76.16448397225817,176.00664152263036,0.4327364201336981,1.0,0.4327364201336981
mt-006,short,2,1,1.0,76.50393503488525,169.98744037174387,0.45005639750548354,1.0,0.45005639750548354
mt-007,short,0,1,1.0,77.35170896019237,175.5824113853335,0.44054360769904316,1.0,0.44054360769904316
mt-007,short,1,1,1.0,76.5022670084098,170.67046328805193,0.44824549915993267,1.0,0.44824549915993267
mt-007,short,2,1,1.0,77.70209534335811,170.4667169355548,0.45581974440637285,1.0,0.45581974440637285
mt-008,short,0,1,1.0,76.21216998466286,171.4817417924047,0.4444331459901142,1.0,0.4444331459901142
mt-008,short,1,1,1.0,75.8368149955792,170.87525386120677,0.4438139126756035,1.0,0.4438139126756035
mt-008,short,2,1,1.0,76.53732109742059,171.71139542822365,0.4457323342259695,1.0,0.4457323342259695
mt-009,short,0,1,1.0,78.24636094636372,167.61605623111154,0.4668190071151445,1.0,0.4668190071151445
mt-009,short,1,1,1.0,76.34175027690702,171.08935866747717,0.44620981030902085,1.0,0.44620981030902085
mt-009,short,2,1,1.0,76.25932546991527,169.0936573624294,0.4509886808259384,1.0,0.4509886808259384
mt-010,short,0,1,1.0,76.34393167387717,170.2735400256039,0.44836051251649195,1.0,0.44836051251649195
mt-010,short,1,1,1.0,76.32740100552805,171.66667678782704,0.44462561071107337,1.0,0.44462561071107337
mt-010,short,2,1,1.0,76.81687113577834,170.01797238733505,0.451816181884431,1.0,0.451816181884431
mt-011,short,0,1,1.0,76.51410169240562,171.42269469126552,0.4463475610986544,1.0,0.4463475610986544
mt-011,short,1,1,1.0,76.13199087002921,169.3297401844642,0.44960791168221625,1.0,0.44960791168221625
mt-011,short,2,1,1.0,76.16796438589705,170.42479797551744,0.4469300553129542,1.0,0.4469300553129542
mt-012,short,0,1,1.0,76.71167761108178,170.94481439306915,0.448751124059789,1.0,0.448751124059789
mt-012,short,1,1,1.0,76.0392249387385,170.66370758551997,0.4455500587354524,1.0,0.4455500587354524
mt-012,short,2,1,1.0,76.3645752400561,175.26149590261744,0.435717924503437,1.0,0.435717924503437
mt-013,short,0,1,1.0,76.075136321594,170.01255447084375,0.44746775647465775,1.0,0.44746775647465775
mt-013,short,1,1,1.0,76.80603357477479,174.41316279577586,0.44036833197451175,1.0,0.44036833197451175
mt-013,short,2,1,1.0,76.57266256449041,168.75944284888357,0.4537385361781371,1.0,0.4537385361781371
mt-014,short,0,1,1.0,78.33186343590825,170.44614299232168,0.4595695863850493,1.0,0.4595695863850493
mt-014,short,1,1,1.0,75.7446643765982,173.4779146702618,0.43662424995464055,1.0,0.43662424995464055
mt-014,short,2,1,1.0,77.62798756769264,174.0363643217697,0.4460446405566655,1.0,0.4460446405566655
mt-015,short,0,1,1.0,75.8902271674513,174.39000583078135,0.4351753232985787,1.0,0.4351753232985787
mt-015,short,1,1,1.0,78.22636425605158,171.58016679547458,0.45591728762741124,1.0,0.45591728762741124
mt-015,short,2,1,1.0,76.28713744269179,170.32981425012,0.44787894461428995,1.0,0.44787894461428995
mt-001,short,0,3,0.96875,109.92221079946653,170.4168691653997,0.6450195414209874,0.9540939331054688,0.6760545466645209
mt-001,short,1,3,0.96875,111.0519154274236,170.21125306912964,0.6524358021283172,0.9540939331054688,0.6838276394911262
mt-001,short,2,3,0.96875,113.67432181758468,175.9075173264046,0.6462163956680526,0.9540939331054688,0.6773089873495901
mt-002,short,0,3,1.0,113.91373549180716,171.4426554427321,0.664442201957484,1.0,0.664442201957484
mt-002,short,1,3,1.0,113.8124941293031,176.70795541920253,0.6440711390684525,1.0,0.6440711390684525
