benchmark_label,mode,quantization_type,prompt_id,context_bucket,spec_k,sparsity_budget,quant_bits_effective,trial_index,fp16_dense_draft_bytes_baseline,logical_draft_kv_bytes,effective_compression_ratio,tokens_per_sec,quantization_factor_bits_over_16
spec_fp16,speculative_fp16,none,mt-010,short,3,0.0,16,0,1732608.0,1732608,1.0,113.58287763675692,
spec_fp16,speculative_fp16,none,mt-010,short,3,0.0,16,1,1732608.0,1732608,1.0,113.09165742739336,
spec_fp16,speculative_fp16,none,mt-010,short,3,0.0,16,2,1732608.0,1732608,1.0,112.6575293312972,
spec_fp16,speculative_fp16,none,mt-011,short,3,0.0,16,0,1880064.0,1880064,1.0,116.6318076669523,
spec_fp16,speculative_fp16,none,mt-011,short,3,0.0,16,1,1880064.0,1880064,1.0,116.07412512494491,
spec_fp16,speculative_fp16,none,mt-011,short,3,0.0,16,2,1880064.0,1880064,1.0,112.84976590320636,
spec_fp16,speculative_fp16,none,mt-012,short,3,0.0,16,0,1843200.0,1843200,1.0,113.4392637213241,
spec_fp16,speculative_fp16,none,mt-012,short,3,0.0,16,1,1843200.0,1843200,1.0,116.42730982432278,
spec_fp16,speculative_fp16,none,mt-012,short,3,0.0,16,2,1843200.0,1843200,1.0,113.63475878750252,
spec_fp16,speculative_fp16,none,mt-013,short,3,0.0,16,0,2801664.0,2801664,1.0,112.7845833033143,
spec_fp16,speculative_fp16,none,mt-013,short,3,0.0,16,1,2801664.0,2801664,1.0,113.58804394399095,
spec_fp16,speculative_fp16,none,mt-013,short,3,0.0,16,2,2801664.0,2801664,1.0,116.3936151263948,
spec_fp16,speculative_fp16,none,mt-014,short,3,0.0,16,0,2396160.0,2396160,1.0,113.0355859196768,
spec_fp16,speculative_fp16,none,mt-014,short,3,0.0,16,1,2396160.0,2396160,1.0,115.89910432446082,
spec_fp16,speculative_fp16,none,mt-014,short,3,0.0,16,2,2396160.0,2396160,1.0,113.0905011683272,
spec_fp16,speculative_fp16,none,mt-015,short,3,0.0,16,0,2580480.0,2580480,1.0,112.68297285064382,
spec_fp16,speculative_fp16,none,mt-015,short,3,0.0,16,1,2580480.0,2580480,1.0,113.20318657773906,
spec_fp16,speculative_fp16,none,mt-015,short,3,0.0,16,2,2580480.0,2580480,1.0,116.3040244187694,
spec_fp16,speculative_fp16,none,mt-001,short,7,0.0,16,0,2027520.0,2027520,1.0,130.96666206784553,
spec_fp16,speculative_fp16,none,mt-001,short,7,0.0,16,1,2027520.0,2027520,1.0,129.84881179390285,
spec_fp16,speculative_fp16,none,mt-001,short,7,0.0,16,2,2027520.0,2027520,1.0,129.8793178831112,
spec_fp16,speculative_fp16,none,mt-002,short,7,0.0,16,0,1843200.0,1843200,1.0,136.41860201499708,
spec_fp16,speculative_fp16,none,mt-002,short,7,0.0,16,1,1843200.0,1843200,1.0,139.37905125625574,
spec_fp16,speculative_fp16,none,mt-002,short,7,0.0,16,2,1843200.0,1843200,1.0,140.3374349594601,
spec_fp16,speculative_fp16,none,mt-003,short,7,0.0,16,0,2027520.0,2027520,1.0,126.74454559201229,
spec_fp16,speculative_fp16,none,mt-003,short,7,0.0,16,1,2027520.0,2027520,1.0,130.79520977913853,
spec_fp16,speculative_fp16,none,mt-003,short,7,0.0,16,2,2027520.0,2027520,1.0,126.33153985841506,
spec_fp16,speculative_fp16,none,mt-004,short,7,0.0,16,0,1916928.0,1916928,1.0,137.61799388298687,
spec_fp16,speculative_fp16,none,mt-004,short,7,0.0,16,1,1916928.0,1916928,1.0,136.97049523273142,
spec_fp16,speculative_fp16,none,mt-004,short,7,0.0,16,2,1916928.0,1916928,1.0,137.02772762065865,
spec_fp16,speculative_fp16,none,mt-005,short,7,0.0,16,0,1953792.0,1953792,1.0,136.10677658289734,
spec_fp16,speculative_fp16,none,mt-005,short,7,0.0,16,1,1953792.0,1953792,1.0,136.53868186298715,
spec_fp16,speculative_fp16,none,mt-005,short,7,0.0,16,2,1953792.0,1953792,1.0,139.87508045063018,
spec_fp16,speculative_fp16,none,mt-006,short,7,0.0,16,0,1843200.0,1843200,1.0,136.31827645715498,
spec_fp16,speculative_fp16,none,mt-006,short,7,0.0,16,1,1843200.0,1843200,1.0,139.2222821434037,
spec_fp16,speculative_fp16,none,mt-006,short,7,0.0,16,2,1843200.0,1843200,1.0,139.4624129293964,
spec_fp16,speculative_fp16,none,mt-007,short,7,0.0,16,0,1769472.0,1769472,1.0,136.43552703357153,
spec_fp16,speculative_fp16,none,mt-007,short,7,0.0,16,1,1769472.0,1769472,1.0,136.3750678487052,
spec_fp16,speculative_fp16,none,mt-007,short,7,0.0,16,2,1769472.0,1769472,1.0,136.79470796674133,
spec_fp16,speculative_fp16,none,mt-008,short,7,0.0,16,0,1732608.0,1732608,1.0,140.4340874695443,
spec_fp16,speculative_fp16,none,mt-008,short,7,0.0,16,1,1732608.0,1732608,1.0,135.4686030006799,
spec_fp16,speculative_fp16,none,mt-008,short,7,0.0,16,2,1732608.0,1732608,1.0,136.53693295663825,
spec_fp16,speculative_fp16,none,mt-009,short,7,0.0,16,0,1658880.0,1658880,1.0,106.26080564469623,
spec_fp16,speculative_fp16,none,mt-009,short,7,0.0,16,1,1658880.0,1658880,1.0,107.36209209258848,
spec_fp16,speculative_fp16,none,mt-009,short,7,0.0,16,2,1658880.0,1658880,1.0,109.59321464572248,
spec_fp16,speculative_fp16,none,mt-010,short,7,0.0,16,0,1732608.0,1732608,1.0,135.9443854237802,
spec_fp16,speculative_fp16,none,mt-010,short,7,0.0,16,1,1732608.0,1732608,1.0,141.55801315012977,
spec_fp16,speculative_fp16,none,mt-010,short,7,0.0,16,2,1732608.0,1732608,1.0,136.67016152198826,
spec_fp16,speculative_fp16,none,mt-011,short,7,0.0,16,0,1880064.0,1880064,1.0,137.2676012325356,
spec_fp16,speculative_fp16,none,mt-011,short,7,0.0,16,1,1880064.0,1880064,1.0,136.4499857522325,
spec_fp16,speculative_fp16,none,mt-011,short,7,0.0,16,2,1880064.0,1880064,1.0,136.4704582270952,
spec_fp16,speculative_fp16,none,mt-012,short,7,0.0,16,0,1843200.0,1843200,1.0,141.4005811519293,
spec_fp16,speculative_fp16,none,mt-012,short,7,0.0,16,1,1843200.0,1843200,1.0,140.64868288947054,
spec_fp16,speculative_fp16,none,mt-012,short,7,0.0,16,2,1843200.0,1843200,1.0,137.21537468434357,
spec_fp16,speculative_fp16,none,mt-013,short,7,0.0,16,0,2801664.0,2801664,1.0,137.6186875168173,
spec_fp16,speculative_fp16,none,mt-013,short,7,0.0,16,1,2801664.0,2801664,1.0,137.1175544487827,
spec_fp16,speculative_fp16,none,mt-013,short,7,0.0,16,2,2801664.0,2801664,1.0,136.30953503176693,
