mode,spec_k,sparsity_budget,quant_bits_requested,context_bucket,draft_cache_mode_resolved,n_rows,mean_latency_e2e_s,std_latency_e2e_s,mean_acceptance_rate,mean_tokens_per_sec,mean_logical_draft_kv_bytes,gpu_torch_name
quant_only,3,0.4,16,short,fp16,3,0.10420115066665403,0.0003082180791355713,1.0,76.77503252657252,1081344.0,NVIDIA A10G
quant_only,3,0.4,4,short,quant_only,3,0.236445075000006,0.0012965079536453588,0.9166666666666666,33.83517230996732,337920.0,NVIDIA A10G
quant_only,3,0.4,8,short,quant_only,3,0.16288383633335948,0.0004801408667191871,0.9583333333333334,49.11504173598874,540768.0,NVIDIA A10G
quant_only,3,1.0,16,short,fp16,3,0.10434960999994776,0.0001481606370709892,1.0,76.66545896395891,1081344.0,NVIDIA A10G
quant_only,3,1.0,4,short,quant_only,3,0.2370539536666456,0.0007930867683865469,0.9166666666666666,33.74784380502681,337920.0,NVIDIA A10G
quant_only,3,1.0,8,short,quant_only,3,0.16254718666664303,0.0005466656207728331,0.9583333333333334,49.216849007983676,540768.0,NVIDIA A10G
quant_only,5,0.1,16,short,fp16,3,0.10338955233335885,0.00037778657919288486,1.0,77.37794691562827,1081344.0,NVIDIA A10G
quant_only,5,0.1,4,short,quant_only,3,0.22907101200015254,0.009614341484259489,0.8842592592592593,34.96375870424501,337920.0,NVIDIA A10G
quant_only,5,0.1,8,short,quant_only,3,0.1560604336667287,0.0006588037429457323,1.0,51.26280286193158,540768.0,NVIDIA A10G
quant_only,5,0.2,16,short,fp16,3,0.10226487266671332,0.0007589225002186863,1.0,78.23109576748384,1081344.0,NVIDIA A10G
quant_only,5,0.2,4,short,quant_only,3,0.22852417400008562,0.00889876417761349,0.8842592592592593,35.0418894632738,337920.0,NVIDIA A10G
quant_only,5,0.2,8,short,quant_only,3,0.15582015233326274,0.000979347883334533,1.0,51.34258899520352,540768.0,NVIDIA A10G
quant_only,5,0.4,16,short,fp16,3,0.10284170400010832,0.0003661757301102727,1.0,77.79011148882297,1081344.0,NVIDIA A10G
quant_only,5,0.4,4,short,quant_only,3,0.2279941816666451,0.009581554623291461,0.8842592592592593,35.12899724112988,337920.0,NVIDIA A10G
quant_only,5,0.4,8,short,quant_only,3,0.15535964433335417,0.0005538718640133123,1.0,51.49385945356968,540768.0,NVIDIA A10G
quant_only,5,1.0,16,short,fp16,3,0.10364662800005438,0.00047641122891324734,1.0,77.18642299808246,1081344.0,NVIDIA A10G
quant_only,5,1.0,4,short,quant_only,3,0.22871752866664488,0.00973506857911567,0.8842592592592593,35.01892759412215,337920.0,NVIDIA A10G
quant_only,5,1.0,8,short,quant_only,3,0.15560369033331276,0.000278886455505541,1.0,51.41277258342253,540768.0,NVIDIA A10G
quant_only,7,0.1,16,short,fp16,3,0.10324044866661097,0.0005964188924231704,1.0,77.49073316069274,1081344.0,NVIDIA A10G
quant_only,7,0.1,4,short,quant_only,3,0.2461486119999942,0.024724387571667467,0.7676767676767676,32.71523963055112,337920.0,NVIDIA A10G
quant_only,7,0.1,8,short,quant_only,3,0.15959282800001043,0.0064077344627055085,0.9259259259259259,50.18029280471767,540768.0,NVIDIA A10G
quant_only,7,0.2,16,short,fp16,3,0.10328829166655851,0.0003859561777046394,1.0,77.45383804230597,1081344.0,NVIDIA A10G
quant_only,7,0.2,4,short,quant_only,3,0.24804511900000156,0.025481004516176433,0.7676767676767676,32.4766735536427,337920.0,NVIDIA A10G
quant_only,7,0.2,8,short,quant_only,3,0.15921224866663883,0.0055912759263976415,0.9259259259259259,50.28799995690114,540768.0,NVIDIA A10G
quant_only,7,0.4,16,short,fp16,3,0.1039718523333401,0.00018918714534018943,1.0,76.94407183154104,1081344.0,NVIDIA A10G
quant_only,7,0.4,4,short,quant_only,3,0.24630614033329343,0.024753639161338756,0.7676767676767676,32.695493067566936,337920.0,NVIDIA A10G
quant_only,7,0.4,8,short,quant_only,3,0.15944205300002068,0.006429221489936297,0.9259259259259259,50.22823241198423,540768.0,NVIDIA A10G
quant_only,7,1.0,16,short,fp16,3,0.10359420066674829,0.000955552358167964,1.0,77.22876027886397,1081344.0,NVIDIA A10G
quant_only,7,1.0,4,short,quant_only,3,0.24579258733335033,0.02599576906858606,0.7676767676767676,32.78522921232971,337920.0,NVIDIA A10G
quant_only,7,1.0,8,short,quant_only,3,0.1601426083333687,0.005986235634017862,0.9259259259259259,50.001068696406726,540768.0,NVIDIA A10G
speculative_fp16,1,0.1,16,short,fp16,3,0.11173681833332694,0.0007238988419679291,1.0,71.59881780321918,1081344.0,NVIDIA A10G
speculative_fp16,1,0.1,4,short,fp16,3,0.11815671033332364,0.011884207211502663,1.0,68.14166370067154,1081344.0,NVIDIA A10G
speculative_fp16,1,0.1,8,short,fp16,3,0.1145699373333476,0.006791485173130267,1.0,69.9848662457963,1081344.0,NVIDIA A10G
speculative_fp16,1,0.2,16,short,fp16,3,0.1107956363333263,0.0005882838495878974,1.0,72.20636443733672,1081344.0,NVIDIA A10G
speculative_fp16,1,0.2,4,short,fp16,3,0.11018656366667301,0.00021802393827814208,1.0,72.60432298596665,1081344.0,NVIDIA A10G
speculative_fp16,1,0.2,8,short,fp16,3,0.10974570466667426,0.0008553197595146946,1.0,72.89875440593592,1081344.0,NVIDIA A10G
speculative_fp16,1,0.4,16,short,fp16,3,0.10970787499998853,0.0006050954636747757,1.0,72.92240763892714,1081344.0,NVIDIA A10G
speculative_fp16,1,0.4,4,short,fp16,3,0.11061206399998962,0.0006943451725493396,1.0,72.32673835494181,1081344.0,NVIDIA A10G
speculative_fp16,1,0.4,8,short,fp16,3,0.11061392366665738,0.0005221928898789482,1.0,72.32470301554987,1081344.0,NVIDIA A10G
speculative_fp16,1,1.0,16,short,fp16,3,0.10927754333329176,0.0002387170670464321,1.0,73.20832107506921,1081344.0,NVIDIA A10G
speculative_fp16,1,1.0,4,short,fp16,3,0.1096396403333415,0.000932091680158682,1.0,72.96982539143549,1081344.0,NVIDIA A10G
speculative_fp16,1,1.0,8,short,fp16,3,0.10977606233332911,0.0003069857107264884,1.0,72.87601225397322,1081344.0,NVIDIA A10G
speculative_fp16,3,0.1,16,short,fp16,3,0.10506684699998914,0.0001826723328260961,1.0,76.14215483511855,1081344.0,NVIDIA A10G
speculative_fp16,3,0.1,4,short,fp16,3,0.10406762666665752,0.00045496165484995804,1.0,76.87406752554146,1081344.0,NVIDIA A10G
speculative_fp16,3,0.1,8,short,fp16,3,0.10482102833331434,0.0001921165272098096,1.0,76.3207347610785,1081344.0,NVIDIA A10G
speculative_fp16,3,0.2,16,short,fp16,3,0.10536829066662297,0.00028238769388584824,1.0,75.92453341418096,1081344.0,NVIDIA A10G
speculative_fp16,3,0.2,4,short,fp16,3,0.10501055733334397,0.0003125922997342846,1.0,76.18326560107386,1081344.0,NVIDIA A10G
speculative_fp16,3,0.2,8,short,fp16,3,0.10476549466667014,9.603780412283303e-05,1.0,76.36106246945012,1081344.0,NVIDIA A10G
speculative_fp16,3,0.4,16,short,fp16,3,0.10491265433332349,0.0014131994184183618,1.0,76.2632063657983,1081344.0,NVIDIA A10G
speculative_fp16,3,0.4,4,short,fp16,3,0.10355956466670098,0.00047999453477640884,1.0,77.25133540813724,1081344.0,NVIDIA A10G
speculative_fp16,3,0.4,8,short,fp16,3,0.10461774499996561,0.00016936232042308647,1.0,76.46899647490734,1081344.0,NVIDIA A10G
speculative_fp16,3,1.0,16,short,fp16,3,0.105148783333334,0.00021329032371632985,1.0,76.08287708463286,1081344.0,NVIDIA A10G
speculative_fp16,3,1.0,4,short,fp16,3,0.1048671179999398,0.0003584635599669492,1.0,76.28761573370002,1081344.0,NVIDIA A10G
speculative_fp16,3,1.0,8,short,fp16,3,0.10386303733332625,0.00032303308248011006,1.0,77.02501102411055,1081344.0,NVIDIA A10G
speculative_fp16,5,0.1,16,short,fp16,3,0.10367801533334386,0.0010672972965997318,1.0,77.16742521239728,1081344.0,NVIDIA A10G
speculative_fp16,5,0.1,4,short,fp16,3,0.10306103200002781,0.00043973333591423007,1.0,77.6248471581731,1081344.0,NVIDIA A10G
speculative_fp16,5,0.1,8,short,fp16,3,0.1036676639999996,0.0015346120372647213,1.0,77.18088438367711,1081344.0,NVIDIA A10G
speculative_fp16,5,0.2,16,short,fp16,3,0.10430152833328066,0.0002072078916041254,1.0,76.7008993358606,1081344.0,NVIDIA A10G
speculative_fp16,5,0.2,4,short,fp16,3,0.10369804899998296,0.0015459232536553591,1.0,77.15840780015274,1081344.0,NVIDIA A10G
speculative_fp16,5,0.2,8,short,fp16,3,0.10335035366669369,0.0004144022541224058,1.0,77.40743296702176,1081344.0,NVIDIA A10G
speculative_fp16,5,0.4,16,short,fp16,3,0.10454511733337313,0.0005686768244646311,1.0,76.5234929825728,1081344.0,NVIDIA A10G
speculative_fp16,5,0.4,4,short,fp16,3,0.10376917733333357,0.0002986677586939249,1.0,77.09460908549445,1081344.0,NVIDIA A10G
speculative_fp16,5,0.4,8,short,fp16,3,0.10339837833331937,0.0003232837915306957,1.0,77.371156429751,1081344.0,NVIDIA A10G
speculative_fp16,5,1.0,16,short,fp16,3,0.10282174066670298,0.00027844510994806004,1.0,77.80493812919141,1081344.0,NVIDIA A10G
speculative_fp16,5,1.0,4,short,fp16,3,0.10395084933331115,0.0016494774585384285,1.0,76.97245726573767,1081344.0,NVIDIA A10G
speculative_fp16,5,1.0,8,short,fp16,3,0.10398212800002209,0.0005496093861316993,1.0,76.93772959475896,1081344.0,NVIDIA A10G
speculative_fp16,7,0.1,16,short,fp16,3,0.10290704966666908,0.0007210586671703226,1.0,77.74260020447515,1081344.0,NVIDIA A10G
speculative_fp16,7,0.1,4,short,fp16,3,0.10381353233337147,0.0006717403303417048,1.0,77.06339567997428,1081344.0,NVIDIA A10G
speculative_fp16,7,0.1,8,short,fp16,3,0.10319843666669233,0.0009665886998161248,1.0,77.52508009747598,1081344.0,NVIDIA A10G
speculative_fp16,7,0.2,16,short,fp16,3,0.1035211823333384,0.0006892755742245838,1.0,77.2811466288443,1081344.0,NVIDIA A10G
speculative_fp16,7,0.2,4,short,fp16,3,0.1037555783333346,0.00046618164991051703,1.0,77.10532401183303,1081344.0,NVIDIA A10G
speculative_fp16,7,0.2,8,short,fp16,3,0.10398025833334638,0.0011095207300882576,1.0,76.94355456971691,1081344.0,NVIDIA A10G
speculative_fp16,7,0.4,16,short,fp16,3,0.10323747766665292,0.0012003587446455552,1.0,77.49818408583677,1081344.0,NVIDIA A10G
speculative_fp16,7,0.4,4,short,fp16,3,0.10281763499998912,0.00045007557530572177,1.0,77.80865549963144,1081344.0,NVIDIA A10G
speculative_fp16,7,0.4,8,short,fp16,3,0.10372409666668621,0.0012496021421700234,1.0,77.1351126374267,1081344.0,NVIDIA A10G
speculative_fp16,7,1.0,16,short,fp16,3,0.10514727633327918,0.0029140668741134855,1.0,76.12214026230976,1081344.0,NVIDIA A10G
speculative_fp16,7,1.0,4,short,fp16,3,0.1039602973333255,0.0011172966625417316,1.0,76.95834354771634,1081344.0,NVIDIA A10G
speculative_fp16,7,1.0,8,short,fp16,3,0.10360971566668316,0.0010133681493464629,1.0,77.21774120747718,1081344.0,NVIDIA A10G
